c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
353732907;188530139;89000;1;0;Засекреченное;"Прямо с завода";19;Обыч.;"P250 | Цвета прибоя (Прямо с завода)";D2D2D2;292
353774660;519977179;9400;1;0;"Промышленное качество";Поношенное;17;Обыч.;"AK-47 | Хищник (Поношенное)";D2D2D2;482
353976232;188530170;41200;1;0;"Армейское качество";"Немного поношенное";19;StatTrak™;"StatTrak™ Glock-18 | Синяя трещина (Немного поношенное)";CF6A32;1084
354203137;188530170;21200;1;0;"Армейское качество";Поношенное;17;StatTrak™;"StatTrak™ M4A4 | Тусклые полосы (Поношенное)";CF6A32;1004
354750126;188530170;1700000;1;0;Тайное;"Закаленное в боях";365;"★ StatTrak™";"★ StatTrak™ Керамбит | Ночь (Закаленное в боях)";8650AC;1065
355042708;0;6900;1;0;Ширпотреб;"Закаленное в боях";17;Обыч.;"AUG | Наемник (Закаленное в боях)";D2D2D2;12
355760991;0;16000;1;0;"Промышленное качество";"Немного поношенное";17;Обыч.;"M4A4 | Пиксельный камуфляж «Город» (Немного поношенное)";D2D2D2;121
355808296;188530139;6300;1;0;"Армейское качество";"После полевых испытаний";19;Обыч.;"P2000 | Красные фрагменты (После полевых испытаний)";D2D2D2;190
356071979;0;6900;1;0;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Гроза (После полевых испытаний)";D2D2D2;13
356148094;188530139;6900;1;0;"Армейское качество";"Немного поношенное";3;Обыч.;"ПП-19 Бизон | Синие полутона (Немного поношенное)";D2D2D2;174
356619098;188530139;14210;1;0;Запрещенное;"После полевых испытаний";19;Обыч.;"Dual Berettas | Гемоглобин (После полевых испытаний)";D2D2D2;501
358426475;188530170;8000;1;0;"Армейское качество";"После полевых испытаний";19;StatTrak™;"StatTrak™ P2000 | Красные фрагменты (После полевых испытаний)";CF6A32;567
359379146;188530170;9000;1;0;"Армейское качество";"Закаленное в боях";19;StatTrak™;"StatTrak™ CZ75-Auto | Кровавая паутина (Закаленное в боях)";CF6A32;592
359625311;188530170;87000;1;1;Запрещенное;"Прямо с завода";19;StatTrak™;"StatTrak™ Five-SeveN | Медная галактика (Прямо с завода)";CF6A32;958
359840070;0;3990;1;0;"Армейское качество";"После полевых испытаний";19;Обыч.;"USP-S | Ночные операции (После полевых испытаний)";D2D2D2;206
360448779;143865972;99999;1;3;"базового класса";;1051;Обыч.;"Пропуск на операцию «Феникс»";D2D2D2;1079
360448780;143865972;16200;49;2620;"базового класса";;21;Обыч.;"Ключ от кейса операции «Феникс»";D2D2D2;1242
360450323;188530139;1063;4;136;"Армейское качество";"Немного поношенное";3;Обыч.;"UMP-45 | Капрал (Немного поношенное)";D2D2D2;500
360451048;188530139;740;28;358;"Армейское качество";"Немного поношенное";75;Обыч.;"Negev | Почва (Немного поношенное)";D2D2D2;730
360453655;188530139;810;39;1173;"Армейское качество";"После полевых испытаний";49;Обыч.;"MAG-7 | Райский страж (После полевых испытаний)";D2D2D2;599
360453922;188530139;5099;15;130;Запрещенное;"Немного поношенное";17;Обыч.;"SG 553 | Пульс (Немного поношенное)";D2D2D2;1370
360454655;188530139;700;30;126;"Армейское качество";"Закаленное в боях";19;Обыч.;"Tec-9 | Песчаная буря (Закаленное в боях)";D2D2D2;854
