c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
143815174;143865972;405000;2;0;"базового класса";;1051;Обыч.;"Пропуск на операцию «Расплата»";D2D2D2;759
186150629;143865972;15890;156;1188;"базового класса";;21;Обыч.;"Ключ от кейса CS:GO";D2D2D2;1232
186150630;143865972;16000;59;94;"базового класса";;21;Обыч.;"Ключ eSports";D2D2D2;1230
191923205;143865972;14700;5;457;"базового класса";;3279;Обыч.;"Именной ярлык";D2D2D2;1109
259019412;143865972;15900;39;207;"базового класса";;21;Обыч.;"Ключ от кейса Winter Offensive";D2D2D2;1265
259019413;143865972;5900;235;1157;"базового класса";;3111;Обыч.;"Коробка с подарком";D2D2D2;1307
259019414;143865972;74050;3;0;"базового класса";;3111;Обыч.;"Посылка для аудитории";D2D2D2;1223
259019415;143865972;59200;10;4;"базового класса";;3111;Обыч.;"Груда подарков";D2D2D2;1291
310776497;188530139;119386;6;128;Засекреченное;"Немного поношенное";47;Обыч.;"AWP | БАХ (Немного поношенное)";D2D2D2;1233
310776501;0;29900;6;17;Запрещенное;"Прямо с завода";47;Обыч.;"SCAR-20 | Изумруд (Прямо с завода)";D2D2D2;1172
310776502;0;105;17;166;Ширпотреб;"Немного поношенное";19;Обыч.;"Dual Berettas | Наемник (Немного поношенное)";D2D2D2;1067
310776504;188530139;41200;4;67;Засекреченное;"Немного поношенное";19;Обыч.;"USP-S | Сыворотка (Немного поношенное)";D2D2D2;1012
310776507;188530139;36200;4;283;Запрещенное;"Немного поношенное";17;Обыч.;"M4A1-S | Темная вода (Немного поношенное)";D2D2D2;1088
310776509;0;108;43;144;Ширпотреб;"Немного поношенное";47;Обыч.;"SCAR-20 | Песчаная сетка (Немного поношенное)";D2D2D2;769
310776512;0;550;49;364;"Промышленное качество";"Прямо с завода";3;Обыч.;"MAC-10 | Карамельное яблоко (Прямо с завода)";D2D2D2;842
310776515;188530139;5439;1;3;"Армейское качество";"Немного поношенное";17;Обыч.;"SG 553 | Брызги волны (Немного поношенное)";D2D2D2;1020
310776521;188530139;22890;56;347;Запрещенное;"После полевых испытаний";19;Обыч.;"USP-S | Камуфляж (После полевых испытаний)";D2D2D2;1091
310776522;188530139;1380;125;290;"Армейское качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Синие полутона (После полевых испыта";D2D2D2;619
310776524;188530139;207800;2;7;Засекреченное;"После полевых испытаний";3;Обыч.;"P90 | Изумрудный дракон (После полевых испытаний)";D2D2D2;1002
310776527;188530139;9699;8;234;"Армейское качество";"Немного поношенное";17;Обыч.;"M4A1-S | Кровавый тигр (Немного поношенное)";D2D2D2;1119
310776528;188530139;34600;10;50;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Камуфляж (Немного поношенное)";D2D2D2;1161
310776531;188530139;13800;15;177;Запрещенное;"Прямо с завода";17;Обыч.;"AK-47 | Синий ламинат (Прямо с завода)";D2D2D2;1223
310776535;0;1999;6;1;Ширпотреб;"После полевых испытаний";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (После полевы";D2D2D2;469
310776543;0;140;32;174;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытани";D2D2D2;471
310776543;302028390;100;255;2772;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытаний)";D2D2D2;690
310776545;0;600;4;7;Ширпотреб;"После полевых испытаний";3;Обыч.;"P90 | Ожоги (После полевых испытаний)";D2D2D2;885
310776546;188530139;3486;9;131;"Армейское качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Ками (Немного поношенное)";D2D2D2;809
310776552;188530139;7999;4;49;Запрещенное;"Прямо с завода";49;Обыч.;"Nova | Графит (Прямо с завода)";D2D2D2;886
310776554;0;6000;3;3;Ширпотреб;"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Городская штриховка (Прямо с завода)";D2D2D2;154
310776556;188530139;1128;158;1121;"Армейское качество";"После полевых испытаний";17;Обыч.;"Galil AR | Песчаная буря (После полевых испытаний)";D2D2D2;864
310776557;0;110;23;60;Ширпотреб;Поношенное;19;Обыч.;"Dual Berettas | Колония (Поношенное)";D2D2D2;809
310776558;0;130;14;52;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых ис";D2D2D2;638
310776558;302028390;100;56;894;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых испытаний)";D2D2D2;730
310776560;0;100;313;1117;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Полярная сетка (После полевых испытаний)";D2D2D2;800
310776563;188530139;13000;11;190;Запрещенное;"Прямо с завода";3;Обыч.;"MP9 | Гипнотический (Прямо с завода)";D2D2D2;513
310776566;0;780;317;4727;"Промышленное качество";"После полевых испытаний";47;Обыч.;"AWP | Африканская сетка (После полевых испытаний)";D2D2D2;768
310776567;0;199;27;120;Ширпотреб;"Немного поношенное";47;Обыч.;"G3SG1 | Полярный камуфляж (Немного поношенное)";D2D2D2;427
310776570;0;100;99;2820;Ширпотреб;"После полевых испытаний";19;Обыч.;"P250 | Северный лес (После полевых испытаний)";D2D2D2;370
310776571;0;7779;2;4;"Промышленное качество";"Прямо с завода";17;Обыч.;"AUG | Осужденный (Прямо с завода)";D2D2D2;1279
310776573;0;100;78;232;Ширпотреб;"После полевых испытаний";3;Обыч.;"MP9 | Песчаная штриховка (После полевых испытаний)";D2D2D2;780
310776577;0;134;10;41;Ширпотреб;"После полевых испытаний";3;Обыч.;"UMP-45 | Пиксельный камуфляж «Город» (После полевы";D2D2D2;627
310776577;302028390;100;73;266;Ширпотреб;"После полевых испытаний";3;Обыч.;"UMP-45 | Пиксельный камуфляж «Город» (После полевых испытаний)";D2D2D2;850
310776579;188530139;3599;11;177;"Армейское качество";"После полевых испытаний";17;Обыч.;"M4A4 | Тусклые полосы (После полевых испытаний)";D2D2D2;776
310776580;0;108;11;53;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Тропическая штриховка (После полевых испыт";D2D2D2;778
310776580;302028390;100;37;706;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Тропическая штриховка (После полевых испытаний)";D2D2D2;700
310776584;0;406;32;140;"Промышленное качество";"После полевых испытаний";17;Обыч.;"Galil AR | Смешанный камуфляж (После полевых испыт";D2D2D2;574
310776584;302028390;378;44;319;"Промышленное качество";"После полевых испытаний";17;Обыч.;"Galil AR | Смешанный камуфляж (После полевых испытаний)";D2D2D2;651
310776586;0;610;12;215;"Промышленное качество";"После полевых испытаний";49;Обыч.;"XM1014 | Вороненая сталь (После полевых испытаний)";D2D2D2;403
310776590;0;112;134;2039;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Наемник (После полевых испытаний)";D2D2D2;688
310776593;0;1700;7;76;"Промышленное качество";"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Ночные операции (Прямо с завода)";D2D2D2;235
310776595;0;100;118;171;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Песчаная буря (После полевых испытаний)";D2D2D2;770
310776598;188530139;7920;17;16;"Армейское качество";"Немного поношенное";47;Обыч.;"G3SG1 | Витраж (Немного поношенное)";D2D2D2;690
310776603;188530139;7000;1;271;"Армейское качество";"Прямо с завода";17;Обыч.;"AUG | Крылья (Прямо с завода)";D2D2D2;701
310776612;0;100;183;167;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Хищник (После полевых испытаний)";D2D2D2;840
310776613;0;145;13;124;Ширпотреб;"Немного поношенное";3;Обыч.;"MP7 | Армейский спецназ (Немного поношенное)";D2D2D2;793
310776620;0;278;18;169;"Промышленное качество";"Немного поношенное";3;Обыч.;"P90 | Ясень (Немного поношенное)";D2D2D2;982
310776621;188530139;35499;12;250;Засекреченное;"После полевых испытаний";17;Обыч.;"AK-47 | Красный глянец (После полевых испытаний)";D2D2D2;1095
310776622;188530139;6000;7;16;"Армейское качество";"После полевых испытаний";47;Обыч.;"SCAR-20 | Кровавая паутина (После полевых испытани";D2D2D2;601
310776628;0;27800;6;5;"Армейское качество";Поношенное;17;Обыч.;"M4A4 | Радиационная опасность (Поношенное)";D2D2D2;1138
310776629;188530139;8500;3;36;"Армейское качество";"Прямо с завода";19;Обыч.;"P250 | Улей (Прямо с завода)";D2D2D2;884
310776630;188530139;145300;12;50;Тайное;"Немного поношенное";47;Обыч.;"SSG 08 | Кровь в воде (Немного поношенное)";D2D2D2;1272
310776632;0;128;22;157;Ширпотреб;"Немного поношенное";47;Обыч.;"SCAR-20 | Наемник (Немного поношенное)";D2D2D2;656
310776635;188530139;4399;15;44;"Армейское качество";"Прямо с завода";19;Обыч.;"P250 | Ржавая сталь (Прямо с завода)";D2D2D2;399
310776637;188530139;26000;2;70;Запрещенное;"Немного поношенное";17;Обыч.;"M4A4 | Зірка (Немного поношенное)";D2D2D2;986
310776642;0;2441;5;229;"Промышленное качество";"Немного поношенное";17;Обыч.;"M4A1-S | Северный лес (Немного поношенное)";D2D2D2;1225
310776645;188530139;7399;4;23;"Армейское качество";"Немного поношенное";47;Обыч.;"G3SG1 | Лазурная зебра (Немного поношенное)";D2D2D2;289
310776648;0;4500;3;7;Ширпотреб;"Немного поношенное";19;Обыч.;"Tec-9 | Смерч (Немного поношенное)";D2D2D2;1038
310776650;0;1500;14;98;"Армейское качество";"Прямо с завода";49;Обыч.;"Sawed-Off | Янтарный градиент (Прямо с завода)";D2D2D2;985
310776654;188530139;11900;13;120;"Армейское качество";"Прямо с завода";17;Обыч.;"M4A1-S | Кровавый тигр (Прямо с завода)";D2D2D2;1395
310776658;188530139;37506;18;255;Запрещенное;"Прямо с завода";19;Обыч.;"Glock-18 | Татуировка дракона (Прямо с завода)";D2D2D2;1112
310776665;0;13299;3;17;Ширпотреб;"Прямо с завода";19;Обыч.;"Five-SeveN | Анодированный металл (Прямо с завода)";D2D2D2;612
310776668;0;100;54;578;Ширпотреб;"После полевых испытаний";3;Обыч.;"MP7 | Армейский спецназ (После полевых испытаний)";D2D2D2;770
310776670;302028390;511;2;84;"Армейское качество";"После полевых испытаний";49;Обыч.;"Sawed-Off | Янтарный градиент (После полевых испытаний)";D2D2D2;1002
310776672;0;100;108;184;Ширпотреб;"После полевых испытаний";47;Обыч.;"SCAR-20 | Песчаная сетка (После полевых испытаний)";D2D2D2;800
310776675;188530144;6000;10;0;"Армейское качество";"Прямо с завода";17;StatTrak™;"StatTrak™ Galil AR | Синий титан (Прямо с завода)";CF6A32;1000
310776676;0;1700;4;1;Ширпотреб;"Закаленное в боях";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (Закаленное в";D2D2D2;1171
310776678;0;57998;3;17;"Армейское качество";"Прямо с завода";17;Обыч.;"AUG | Анодированная синева (Прямо с завода)";D2D2D2;1097
310776681;0;6786;3;0;Ширпотреб;"Закаленное в боях";49;Обыч.;"XM1014 | Джунгли (Закаленное в боях)";D2D2D2;245
310776687;188530139;3500;3;21;"Армейское качество";"Немного поношенное";19;Обыч.;"P250 | Ржавая сталь (Немного поношенное)";D2D2D2;553
310776691;302028390;100;34;102;Ширпотреб;"Немного поношенное";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (Немного поношенное)";D2D2D2;800
310776693;0;176;13;93;Ширпотреб;"Закаленное в боях";49;Обыч.;"Nova | Песчаные дюны (Закаленное в боях)";D2D2D2;483
310776701;0;2690;9;8;Ширпотреб;"После полевых испытаний";47;Обыч.;"SSG 08 | Лишайниковая штриховка (После полевых исп";D2D2D2;381
310776706;0;6000;2;9;Ширпотреб;"После полевых испытаний";17;Обыч.;"SG 553 | Смерч (После полевых испытаний)";D2D2D2;1339
310776711;0;350;8;108;"Промышленное качество";"Прямо с завода";49;Обыч.;"MAG-7 | Пиксельный камуфляж «Металлический» (Прямо";D2D2D2;909
310776711;302028390;309;16;244;"Промышленное качество";"Прямо с завода";49;Обыч.;"MAG-7 | Пиксельный камуфляж «Металлический» (Прямо с завода)";D2D2D2;981
310776714;0;798;13;11;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Охотничья будка (После полевых испытани";D2D2D2;573
310776717;0;108;16;42;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Полярный камуфляж (После полевых испытаний";D2D2D2;778
310776717;302028390;100;37;422;Ширпотреб;"После полевых испытаний";47;Обыч.;"G3SG1 | Полярный камуфляж (После полевых испытаний)";D2D2D2;780
310776718;0;300;20;432;"Промышленное качество";"Немного поношенное";3;Обыч.;"MAC-10 | Карамельное яблоко (Немного поношенное)";D2D2D2;1150
310776722;0;120;14;44;Ширпотреб;Поношенное;19;Обыч.;"P250 | Песчаные дюны (Поношенное)";D2D2D2;875
310776726;0;788;421;2849;"Промышленное качество";"После полевых испытаний";17;Обыч.;"M4A1-S | Северный лес (После полевых испытаний)";D2D2D2;1231
310776730;188530139;25000;2;118;Запрещенное;"После полевых испытаний";19;Обыч.;"Five-SeveN | Поверхностная закалка (После полевых ";D2D2D2;910
310776733;188530139;267581;1;8;Тайное;"Немного поношенное";3;Обыч.;"P90 | Смертоносные кошечки (Немного поношенное)";D2D2D2;1030
310776735;0;1699;7;157;"Армейское качество";"Прямо с завода";19;Обыч.;"Desert Eagle | Городской щебень (Прямо с завода)";D2D2D2;854
310776737;0;3799;50;1124;"Армейское качество";"Прямо с завода";47;Обыч.;"SSG 08 | Кислотный градиент (Прямо с завода)";D2D2D2;1027
310776739;188530170;96340;2;4;Запрещенное;"После полевых испытаний";17;StatTrak™;"StatTrak™ M4A4 | Зірка (После полевых испытаний)";CF6A32;878
310776743;188530139;7099;5;43;Запрещенное;"Немного поношенное";19;Обыч.;"Dual Berettas | Гемоглобин (Немного поношенное)";D2D2D2;972
310776745;188530139;7560;14;130;Запрещенное;"Немного поношенное";17;Обыч.;"FAMAS | Пульс (Немного поношенное)";D2D2D2;1050
310776749;188530139;23890;6;41;Запрещенное;"Немного поношенное";19;Обыч.;"P250 | Пятно (Немного поношенное)";D2D2D2;1012
310776751;188530139;3499;7;26;"Армейское качество";"Прямо с завода";47;Обыч.;"G3SG1 | Лазурная зебра (Прямо с завода)";D2D2D2;830
310776753;188530139;2500;48;347;"Армейское качество";"Прямо с завода";17;Обыч.;"Galil AR | Синий титан (Прямо с завода)";D2D2D2;873
310776755;188530139;10478;8;255;Запрещенное;"После полевых испытаний";17;Обыч.;"AK-47 | Синий ламинат (После полевых испытаний)";D2D2D2;1350
310776765;0;144;12;15;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Городская штриховка (После полевых и";D2D2D2;590
310776765;302028390;100;120;222;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Городская штриховка (После полевых испытаний)";D2D2D2;850
310776767;0;249;14;407;"Промышленное качество";"Прямо с завода";47;Обыч.;"SCAR-20 | Углепластик (Прямо с завода)";D2D2D2;1365
310776773;0;199;168;1066;"Промышленное качество";"После полевых испытаний";17;Обыч.;"AUG | Осужденный (После полевых испытаний)";D2D2D2;1276
310776775;0;49776;2;3;"Промышленное качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Карамельное яблоко (Немного поношенно";D2D2D2;1286
310776778;0;130;14;96;Ширпотреб;"Немного поношенное";49;Обыч.;"Nova | Песчаные дюны (Немного поношенное)";D2D2D2;654
310776780;0;3381;2;3;"Промышленное качество";"После полевых испытаний";75;Обыч.;"Negev | Пальма (После полевых испытаний)";D2D2D2;1250
310776784;0;120;49;3534;Ширпотреб;"После полевых испытаний";19;Обыч.;"Five-SeveN | Лесная ночь (После полевых испытаний)";D2D2D2;675
310776786;0;22900;11;81;"Армейское качество";"После полевых испытаний";17;Обыч.;"M4A4 | Радиационная опасность (После полевых испыт";D2D2D2;1197
310776787;0;1300;4;10;Ширпотреб;"После полевых испытаний";49;Обыч.;"MAG-7 | Песчаные дюны (После полевых испытаний)";D2D2D2;640
310776790;188530139;189100;3;41;Засекреченное;"Немного поношенное";17;Обыч.;"AK-47 | Поверхностная закалка (Немного поношенное)";D2D2D2;1223
310776798;0;7500;4;16;"Промышленное качество";"Закаленное в боях";17;Обыч.;"M4A4 | Смерч (Закаленное в боях)";D2D2D2;444
310776804;0;4193;7;74;"Армейское качество";"После полевых испытаний";19;Обыч.;"Desert Eagle | Городской щебень (После полевых исп";D2D2D2;163
310776804;302028390;1780;4;357;"Армейское качество";"После полевых испытаний";19;Обыч.;"Desert Eagle | Городской щебень (После полевых испытаний)";D2D2D2;337
310776810;188530139;48600;24;383;Засекреченное;"Прямо с завода";19;Обыч.;"Desert Eagle | Гипнотический (Прямо с завода)";D2D2D2;970
310776816;0;5899;1;8;"Промышленное качество";"После полевых испытаний";47;Обыч.;"SSG 08 | Тропическая гроза (После полевых испытани";D2D2D2;497
310776817;0;3898;11;387;"Армейское качество";"Прямо с завода";19;Обыч.;"Glock-18 | Карамельное яблоко (Прямо с завода)";D2D2D2;1096
310776820;188530139;15000;2;24;"Армейское качество";"Немного поношенное";3;Обыч.;"UMP-45 | Груда костей (Немного поношенное)";D2D2D2;325
310776824;0;984;10;26;Ширпотреб;"После полевых испытаний";19;Обыч.;"Five-SeveN | Наемник (После полевых испытаний)";D2D2D2;624
310776825;0;100;67;1897;Ширпотреб;"После полевых испытаний";19;Обыч.;"Dual Berettas | Наемник (После полевых испытаний)";D2D2D2;830
310776826;0;3691;8;80;Запрещенное;"После полевых испытаний";19;Обыч.;"P2000 | Янтарный градиент (После полевых испытаний";D2D2D2;674
310776826;302028390;2750;4;89;Запрещенное;"После полевых испытаний";19;Обыч.;"P2000 | Янтарный градиент (После полевых испытаний)";D2D2D2;904
310776829;188530139;17100;2;19;Запрещенное;"После полевых испытаний";17;Обыч.;"Galil AR | Пиксельный камуфляж «Ржавчина» (После п";D2D2D2;874
310776832;188530139;14124;1;19;Запрещенное;"Прямо с завода";49;Обыч.;"Nova | Восходящий череп (Прямо с завода)";D2D2D2;768
310776834;0;1500;2;4;Ширпотреб;"После полевых испытаний";3;Обыч.;"MP7 | Грунтовая вода (После полевых испытаний)";D2D2D2;933
310776837;0;2399;6;3;Ширпотреб;"После полевых испытаний";49;Обыч.;"XM1014 | Джунгли (После полевых испытаний)";D2D2D2;461
310776840;0;100;113;505;Ширпотреб;"После полевых испытаний";47;Обыч.;"SCAR-20 | Наемник (После полевых испытаний)";D2D2D2;780
310776843;188530139;9157;1;64;Запрещенное;"Немного поношенное";3;Обыч.;"MP9 | Железная роза (Немного поношенное)";D2D2D2;1000
310776847;188530139;37999;5;165;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Темная вода (Немного поношенное)";D2D2D2;1124
310776853;0;1995;13;132;"Армейское качество";"Немного поношенное";17;Обыч.;"FAMAS | Демонтаж (Немного поношенное)";D2D2D2;1068
310776856;0;5000;1;1;Ширпотреб;"Немного поношенное";49;Обыч.;"Sawed-Off | Радиоактивная опасность (Немного понош";D2D2D2;580
310776859;0;996;8;205;Ширпотреб;"Закаленное в боях";47;Обыч.;"SSG 08 | Голубая хвоя (Закаленное в боях)";D2D2D2;83
310776860;188530139;7500;1;36;"Армейское качество";"Немного поношенное";49;Обыч.;"Nova | Буря (Немного поношенное)";D2D2D2;627
310776866;0;330;7;99;Ширпотреб;"Немного поношенное";17;Обыч.;"AUG | Гроза (Немного поношенное)";D2D2D2;348
310776869;0;1799;12;59;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Радиоактивная опасность (После полев";D2D2D2;708
310776871;188530170;4778;2;7;"Армейское качество";"Немного поношенное";17;StatTrak™;"StatTrak™ Galil AR | Песчаная буря (Немного поноше";CF6A32;1123
310776871;188530239;7000;1;0;"Армейское качество";"Немного поношенное";17;StatTrak™;"StatTrak™ Galil AR | Песчаная буря (Немного поношенное)";CF6A32;1000
310776875;0;1000;1;2;Ширпотреб;"После полевых испытаний";17;Обыч.;"AUG | Колония (После полевых испытаний)";D2D2D2;414
310776880;0;390;31;874;"Промышленное качество";"После полевых испытаний";3;Обыч.;"MP9 | Апельсиновая корка (После полевых испытаний)";D2D2D2;582
310776881;0;2500;1;2;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Лесные листья (После полевых испытаний)";D2D2D2;448
310776887;0;100;4;83;Ширпотреб;"Закаленное в боях";19;Обыч.;"P250 | Северный лес (Закаленное в боях)";D2D2D2;850
310776888;188530144;7497;5;6;"Армейское качество";"После полевых испытаний";3;StatTrak™;"StatTrak™ ПП-19 Бизон | Знак воды (После полевых и";CF6A32;889
310776889;188530139;6497;2;31;"Армейское качество";"После полевых испытаний";19;Обыч.;"Five-SeveN | Паслен (После полевых испытаний)";D2D2D2;286
310776895;0;1655;14;0;Ширпотреб;Поношенное;75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (Поношенное)";D2D2D2;1068
310776896;0;7500;1;0;Ширпотреб;"Немного поношенное";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (Немного поно";D2D2D2;307
310776902;0;4723;1;1;"Промышленное качество";"Прямо с завода";75;Обыч.;"Negev | Калифорнийский камуфляж (Прямо с завода)";D2D2D2;979
310776904;0;200;39;961;Ширпотреб;"После полевых испытаний";17;Обыч.;"FAMAS | Колония (После полевых испытаний)";D2D2D2;400
310776905;0;6920;5;5;Ширпотреб;"После полевых испытаний";3;Обыч.;"UMP-45 | Карамель (После полевых испытаний)";D2D2D2;1099
310776909;0;820;8;3;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Лесные листья (После полевых испытан";D2D2D2;833
310776911;188530144;2190;5;6;"Армейское качество";"После полевых испытаний";75;StatTrak™;"StatTrak™ M249 | Магма (После полевых испытаний)";CF6A32;937
310776911;188532438;7000;1;0;"Армейское качество";"После полевых испытаний";75;StatTrak™;"StatTrak™ M249 | Магма (После полевых испытаний)";CF6A32;1000
310776914;0;2099;4;7;Ширпотреб;"После полевых испытаний";49;Обыч.;"Sawed-Off | Радиоактивная опасность (После полевых";D2D2D2;606
310776915;0;3413;3;3;Ширпотреб;"Немного поношенное";3;Обыч.;"MAC-10 | Пиксельный камуфляж «Город» (Немного поно";D2D2D2;1176
310776922;0;2790;4;1;Ширпотреб;"После полевых испытаний";49;Обыч.;"XM1014 | Городская перфорация (После полевых испыт";D2D2D2;1286
310776930;0;4400;4;5;Ширпотреб;"Немного поношенное";47;Обыч.;"SSG 08 | Лишайниковая штриховка (Немного поношенно";D2D2D2;524
310776936;0;978;6;18;"Промышленное качество";"После полевых испытаний";19;Обыч.;"P250 | Пороховой дым (После полевых испытаний)";D2D2D2;1135
310776941;0;700;11;3;Ширпотреб;"После полевых испытаний";49;Обыч.;"XM1014 | Цвет луга (После полевых испытаний)";D2D2D2;1174
310776942;0;3500;2;6;Ширпотреб;"После полевых испытаний";17;Обыч.;"FAMAS | Контрастные цвета (После полевых испытаний";D2D2D2;528
310776946;188530144;9100;1;0;"Армейское качество";"Немного поношенное";17;StatTrak™;"StatTrak™ FAMAS | Смертенок (Немного поношенное)";CF6A32;1000
310776948;0;350;106;3857;Ширпотреб;"После полевых испытаний";47;Обыч.;"SSG 08 | Голубая хвоя (После полевых испытаний)";D2D2D2;209
310776953;0;2800;3;0;Ширпотреб;"После полевых испытаний";19;Обыч.;"Tec-9 | Смерч (После полевых испытаний)";D2D2D2;779
310776954;188530139;52490;27;465;Засекреченное;"После полевых испытаний";47;Обыч.;"AWP | Красная линия (После полевых испытаний)";D2D2D2;1247
310776955;0;1499;2;17;Ширпотреб;"После полевых испытаний";19;Обыч.;"Five-SeveN | Джунгли (После полевых испытаний)";D2D2D2;801
310776957;188530139;31000;4;38;Запрещенное;"Немного поношенное";19;Обыч.;"Five-SeveN | Поверхностная закалка (Немного поноше";D2D2D2;1240
310776967;0;100;16;116;Ширпотреб;"Немного поношенное";49;Обыч.;"Nova | Полярная сетка (Немного поношенное)";D2D2D2;800
310776969;0;131;20;114;Ширпотреб;"Немного поношенное";17;Обыч.;"Galil AR | Белое напыление (Немного поношенное)";D2D2D2;809
310776973;0;11000;1;0;Ширпотреб;"Немного поношенное";19;Обыч.;"Five-SeveN | Анодированный металл (Немного поношен";D2D2D2;1002
310776977;188530139;22800;18;346;Запрещенное;"Немного поношенное";17;Обыч.;"M4A1-S | Чистая вода (Немного поношенное)";D2D2D2;1302
310776980;0;3801;2;6;Ширпотреб;"После полевых испытаний";3;Обыч.;"MAC-10 | Пиксельный камуфляж «Город» (После полевы";D2D2D2;938
310776983;188530139;3569;7;108;"Армейское качество";"Прямо с завода";19;Обыч.;"Five-SeveN | Ками (Прямо с завода)";D2D2D2;1009
310776987;0;119;13;61;Ширпотреб;Поношенное;3;Обыч.;"P90 | Песчаное напыление (Поношенное)";D2D2D2;714
310776989;0;399;33;78;"Промышленное качество";"Закаленное в боях";19;Обыч.;"P2000 | Мраморный гранит (Закаленное в боях)";D2D2D2;614
310776996;188530170;7998;3;10;"Армейское качество";"После полевых испытаний";47;StatTrak™;"StatTrak™ G3SG1 | Витраж (После полевых испытаний)";CF6A32;1129
310777000;188530139;47698;8;112;Засекреченное;"Прямо с завода";17;Обыч.;"M4A1-S | Страж (Прямо с завода)";D2D2D2;1100
310777007;0;2498;6;90;"Промышленное качество";"После полевых испытаний";17;Обыч.;"AK-47 | Хищник (После полевых испытаний)";D2D2D2;1129
310777010;188530139;25500;8;51;Запрещенное;"После полевых испытаний";17;Обыч.;"M4A4 | Зірка (После полевых испытаний)";D2D2D2;1052
310777011;188530139;20262;1;6;Запрещенное;"Немного поношенное";17;Обыч.;"Galil AR | Пиксельный камуфляж «Ржавчина» (Немного";D2D2D2;1178
310777015;188530170;11000;1;7;"Армейское качество";"После полевых испытаний";3;StatTrak™;"StatTrak™ UMP-45 | Груда костей (После полевых исп";CF6A32;948
310777025;0;100;43;103;Ширпотреб;"Немного поношенное";19;Обыч.;"Dual Berettas | Колония (Немного поношенное)";D2D2D2;850
310777026;188530139;7880;3;15;"Армейское качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Паслен (Немного поношенное)";D2D2D2;477
310777027;188530139;26000;2;8;Запрещенное;"Закаленное в боях";19;Обыч.;"USP-S | Камуфляж (Закаленное в боях)";D2D2D2;1022
310777030;0;2898;11;53;"Промышленное качество";"После полевых испытаний";17;Обыч.;"M4A4 | Тигр в джунглях (После полевых испытаний)";D2D2D2;830
310777035;0;415;162;2580;"Промышленное качество";"После полевых испытаний";19;Обыч.;"USP-S | Лесные листья (После полевых испытаний)";D2D2D2;723
310777036;188530139;8000;1;9;"Армейское качество";"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Знак воды (Прямо с завода)";D2D2D2;331
310777038;0;100;10;87;Ширпотреб;"Закаленное в боях";19;Обыч.;"Dual Berettas | Наемник (Закаленное в боях)";D2D2D2;850
310777045;188530139;8109;2;57;Запрещенное;"Прямо с завода";3;Обыч.;"P90 | Слепое пятно (Прямо с завода)";D2D2D2;948
310777047;188530139;31599;7;63;Засекреченное;"Прямо с завода";3;Обыч.;"P90 | Хладнокровный (Прямо с завода)";D2D2D2;1128
310777050;0;7999;2;0;"Промышленное качество";"Закаленное в боях";47;Обыч.;"SSG 08 | Мечты Майя (Закаленное в боях)";D2D2D2;593
310777057;0;12696;1;5;Ширпотреб;"Немного поношенное";3;Обыч.;"UMP-45 | Карамель (Немного поношенное)";D2D2D2;1231
310777060;188530139;5125;1;8;"Армейское качество";"После полевых испытаний";49;Обыч.;"MAG-7 | Объемные шестиугольники (После полевых исп";D2D2D2;993
310777064;0;29362;6;0;"Промышленное качество";"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Углепластик (Прямо с завода)";D2D2D2;1242
